Nodes
ID,Title,X,Y,Z,Type
92,Diagonal Bar 92 - Shaft 2,42,30,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
93,Diagonal Bar 93 - Shaft 2,15,43,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
94,Diagonal Bar 94 - Shaft 2,43,32,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
95,Diagonal Bar 95 - Shaft 2,16,43,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
96,Diagonal Bar 96 - Shaft 2,43,31,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
97,Diagonal Bar 97 - Shaft 2,16,44,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
98,Diagonal Bar 98 - Shaft 2,44,29,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
99,Diagonal Bar 99 - Shaft 2,13,44,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
100,Diagonal Bar 100 - Shaft 2,44,32,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
101,Diagonal Bar 101 - Shaft 2,29,45,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
102,Diagonal Bar 102 - Shaft 2,45,34,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
103,Diagonal Bar 103 - Shaft 2,30,45,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
104,Diagonal Bar 104 - Shaft 2,45,33,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
105,Diagonal Bar 105 - Shaft 2,30,46,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
106,Diagonal Bar 106 - Shaft 2,46,35,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
107,Diagonal Bar 107 - Shaft 2,31,46,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
108,Diagonal Bar 108 - Shaft 2,46,34,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
109,Diagonal Bar 109 - Shaft 2,31,47,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
110,Diagonal Bar 110 - Shaft 2,47,36,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
111,Diagonal Bar 111 - Shaft 2,32,47,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
112,Diagonal Bar 112 - Shaft 2,47,35,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
113,Diagonal Bar 113 - Shaft 2,32,48,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
114,Diagonal Bar 114 - Shaft 2,48,33,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
115,Diagonal Bar 115 - Shaft 2,29,48,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
116,Diagonal Bar 116 - Shaft 2,48,36,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
117,Diagonal Bar 117 - Shaft 2,33,49,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
118,Diagonal Bar 118 - Shaft 2,49,38,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
119,Diagonal Bar 119 - Shaft 2,34,49,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
120,Diagonal Bar 120 - Shaft 2,49,37,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
121,Diagonal Bar 121 - Shaft 2,34,50,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
122,Diagonal Bar 122 - Shaft 2,50,39,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
123,Diagonal Bar 123 - Shaft 2,35,50,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
124,Diagonal Bar 124 - Shaft 2,50,38,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
125,Diagonal Bar 125 - Shaft 2,35,51,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
126,Diagonal Bar 126 - Shaft 2,51,40,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
127,Diagonal Bar 127 - Shaft 2,36,51,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
128,Diagonal Bar 128 - Shaft 2,51,39,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
129,Diagonal Bar 129 - Shaft 2,36,52,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
130,Diagonal Bar 130 - Shaft 2,52,37,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
131,Diagonal Bar 131 - Shaft 2,33,52,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
